Run,Prompt,Runtime (s),Generated Text
1,Artificial intelligence is transforming healthcare by,1.537567138671875,"Artificial intelligence is transforming healthcare by the day, paving the way for the ""Bribery of the Universal Human,"" the ""The Bourgeoisie,"" and the ""The Bourgeoisie's, the ""The Bourgeoisie's, and the ""The Beduin' and"
1,Climate change can be addressed through,1.3433289527893066,Climate change can be addressed through the the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the
1,The future of education will depend on,1.3266162872314453,"The future of education will depend on the education, the ""policies, and the the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the"
1,Renewable energy technologies are important because,1.3584723472595215,"Renewable energy technologies are important because the ""solution"" to the the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the"
1,Machine learning algorithms improve by,1.3407647609710693,"Machine learning algorithms improve by nearly doubling the the the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,"
2,Artificial intelligence is transforming healthcare by,1.3788235187530518,"Artificial intelligence is transforming healthcare by the day, paving the way for the ""Bribery of the Universal Human,"" the ""The Bourgeoisie,"" and the ""The Bourgeoisie's, the ""The Bourgeoisie's, and the ""The Beduin' and"
2,Climate change can be addressed through,1.364363670349121,Climate change can be addressed through the the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the
2,The future of education will depend on,1.4166858196258545,"The future of education will depend on the education, the ""policies, and the the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the"
2,Renewable energy technologies are important because,1.3419554233551025,"Renewable energy technologies are important because the ""solution"" to the the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the"
2,Machine learning algorithms improve by,1.3284432888031006,"Machine learning algorithms improve by nearly doubling the the the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,"
3,Artificial intelligence is transforming healthcare by,1.3307132720947266,"Artificial intelligence is transforming healthcare by the day, paving the way for the ""Bribery of the Universal Human,"" the ""The Bourgeoisie,"" and the ""The Bourgeoisie's, the ""The Bourgeoisie's, and the ""The Beduin' and"
3,Climate change can be addressed through,1.3541862964630127,Climate change can be addressed through the the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the
3,The future of education will depend on,1.3380928039550781,"The future of education will depend on the education, the ""policies, and the the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the"
3,Renewable energy technologies are important because,1.3396365642547607,"Renewable energy technologies are important because the ""solution"" to the the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the"
3,Machine learning algorithms improve by,1.3467206954956055,"Machine learning algorithms improve by nearly doubling the the the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,"
4,Artificial intelligence is transforming healthcare by,1.391068935394287,"Artificial intelligence is transforming healthcare by the day, paving the way for the ""Bribery of the Universal Human,"" the ""The Bourgeoisie,"" and the ""The Bourgeoisie's, the ""The Bourgeoisie's, and the ""The Beduin' and"
4,Climate change can be addressed through,1.3425114154815674,Climate change can be addressed through the the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the
4,The future of education will depend on,1.3343660831451416,"The future of education will depend on the education, the ""policies, and the the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the"
4,Renewable energy technologies are important because,1.3553838729858398,"Renewable energy technologies are important because the ""solution"" to the the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the"
4,Machine learning algorithms improve by,1.325812816619873,"Machine learning algorithms improve by nearly doubling the the the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,"
5,Artificial intelligence is transforming healthcare by,1.3319053649902344,"Artificial intelligence is transforming healthcare by the day, paving the way for the ""Bribery of the Universal Human,"" the ""The Bourgeoisie,"" and the ""The Bourgeoisie's, the ""The Bourgeoisie's, and the ""The Beduin' and"
5,Climate change can be addressed through,1.3405201435089111,Climate change can be addressed through the the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the- and the
5,The future of education will depend on,1.3962275981903076,"The future of education will depend on the education, the ""policies, and the the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the"
5,Renewable energy technologies are important because,1.380401372909546,"Renewable energy technologies are important because the ""solution"" to the the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the"
5,Machine learning algorithms improve by,1.3534049987792969,"Machine learning algorithms improve by nearly doubling the the the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,"
